CustomerID,First Name,Last Name,EMAIL,Phone_Number,DOB,Gender,Province,City,PostalCode,JoinDate,BranchID,CustomerSegment
C0196,Dustin,Haley,thomassmith@example.com,328-857-4489 x061,02/10/1974,Male,ON,Brampton,J2L 8V6,04-Apr-2014,BR015,
C0197,Jordan,Ward,maurice61@example.com,(899) 824-5587,01-Dec-1951,Female,BC,Victoria,R3M 3T6,2011-02-19,BR008,
C0198,Robert,Salazar,esweeney@example.org,853 554 4964,27-Feb-1956,M,AB,Edmonton,X3T3S1,07-Jun-2022,BR019,
C0199,David  ,Young,shelby13@example.org,+1 (211) 178-0068,1979-06-24,Non-binary,QC,Quebec City,L7G 5C4,23/04/2013,BR001,
C0200,John,Mitchell,davidroberson@example.org,955-778-4872,1961-08-30,Female,MB,Winnipeg,T9S 5X6,12-Feb-2022,BR006,
C0096,Kevin,Stout,,,08-Sep-1969,F,QC,Gatineau,,14/02/2016,BR016,
C0016,Kristin,Rodriguez,,,09-Dec-1955,Non-binary,NS,Dartmouth,,2014-09-25,BR011,
C0031,Travis,Ray,,,21-Apr-1989,F,NS,Dartmouth,,10/08/2021,BR004,
C0159,Emily,Meadows,,,1976-10-14,Non-binary,ON,Mississauga,,02-Mar-2023,BR016,
C0129,Bradley,Hall,,,10/11/1992,Male,ON,Mississauga,,2012-07-23,BR013,
